actor_id,actor_name
nm0000212,Meg Ryan
nm0413168,Hugh Jackman
nm0000630,Liev Schreiber
nm0005227,Breckin Meyer
nm0864851,Kenneth Tobey
nm0828288,Brinke Stevens
nm0933983,R.G. Wilson
nm0329491,John Goodwin
nm0000417,Crispin Glover
nm0000603,Vanessa Redgrave
nm0000457,John Hurt
nm0452288,Margot Kidder
nm0001002,Dean Cain
nm0001299,Thomas Ian Griffith
nm0923529,Justin Whalin
nm0936365,Jodi Bianca Wise
nm0006763,Jackie Shroff
nm0007113,Nana Patekar
nm0310173,Kumar Gaurav
nm0412917,Jaaved Jaaferi
nm1142237,Rosa Navarra
nm0321320,Rudy Giuliani
nm0001123,Dom DeLuise
nm0898634,Frank Vincent
nm0269451,Kenneth Favre
nm0803374,Gerry Sanseviero
nm1315804,Todo Segalla
nm0803138,Antonia Sisti
nm0001324,Ian Hart
nm0920148,Claudia Wells
nm0115304,Lina Broydo
nm0203349,Ian Davidson
nm0427470,Andras Jones
nm0001293,Seth Green
nm0001062,Jeffrey Combs
nm0732133,Wendy Robie
nm0000199,Al Pacino
nm0001583,Jerry Orbach
nm0283299,Susan Floyd
nm0568375,Ellen McElduff
nm0000849,Javier Bardem
nm0603090,Laura Morante
nm0098709,Juan Diego Botto
nm0617799,Elvira Mínguez
nm0089231,Scott Bloom
nm0175305,Kevin Connolly
nm0001497,Tobey Maguire
nm0000138,Leonardo DiCaprio
nm0000639,Ally Sheedy
nm0641168,Brian O'Halloran
nm0377888,Justin Henry
nm0290969,Jason David Frank
nm0000461,Michael Ironside
nm0001781,Julie Strain
nm0002150,Billy Idol
nm0463233,Pier Paquette
nm0001108,Robert Davi
nm0001456,Kelly LeBrock
nm0852082,Byron Taylor
nm1325216,Roxanne Burger
nm0000450,Philip Seymour Hoffman
nm0000513,William H. Macy
nm0682071,Rebecca Pidgeon
nm0383449,Michael Higgins
nm0424682,Bryan Johnson
nm0507915,Jerry Lewkowitz
nm0839486,Ethan Suplee
nm0000154,Mel Gibson
nm0768018,Julia Sawalha
nm0200057,Phil Daniels
nm0272521,Lynn Ferguson
nm0344435,Ioan Gruffudd
nm0004821,Michael Chiklis
nm0262635,Chris Evans
nm0004695,Jessica Alba
nm0000161,Salma Hayek
nm0000547,Alfred Molina
nm0001691,Geoffrey Rush
nm0535502,Mía Maestro
nm0000136,Johnny Depp
nm0001287,Heather Graham
nm0000453,Ian Holm
nm0001059,Robbie Coltrane
nm0565569,Stephen McHattie
nm0364977,Laura Harris
nm0000594,Jason Priestley
nm0941315,Gordon Michael Woolvett
nm0000704,Elijah Wood
nm0005212,Ian McKellen
nm0089217,Orlando Bloom
nm0000293,Sean Bean
nm0001111,Jeremy Davies
nm0000170,Milla Jovovich
nm0001751,Jimmy Smits
nm0000129,Tom Cruise
nm0779084,Dougray Scott
nm0628601,Thandiwe Newton
nm0000609,Ving Rhames
nm0735442,Michelle Rodriguez
nm1011675,Ryan McCluskey
nm0668994,Oscar Pearce
nm0000228,Kevin Spacey
nm0000194,Julianne Moore
nm0001132,Judi Dench
nm0000949,Cate Blanchett
nm0184392,Martin Kove
nm0566044,Tane McClure
nm0007940,Bruce Abbott
nm0120494,Robert Z'Dar
nm0001772,Patrick Stewart
nm0000463,Famke Janssen
nm0000169,Tommy Lee Jones
nm0000226,Will Smith
nm0001800,Rip Torn
nm0001223,Lara Flynn Boyle
nm0000354,Matt Damon
nm0000106,Drew Barrymore
nm0000597,Bill Pullman
nm0108028,Jim Breuer
nm0005450,David Spade
nm0000422,John Goodman
nm0457755,Eartha Kitt
nm0911320,Patrick Warburton
nm0000307,Helena Bonham Carter
nm0001833,Emily Watson
nm0001808,Tracey Ullman
nm0222881,Tony Devon
nm3083522,Lori Singleton
nm4024721,Mark Dermott
nm2741355,Thomas Finn
nm0159789,Hayden Christensen
nm0000204,Natalie Portman
nm0000191,Ewan McGregor
nm0000489,Christopher Lee
nm0000168,Samuel L. Jackson
nm0000454,Dennis Hopper
nm0005420,Marley Shelton
nm0347957,Devon Gummersall
nm0001735,Talia Shire
nm0002006,Thomas Haden Church
nm0881948,Justin Urich
nm0005160,Lisa Loeb
nm0653959,Rick Overton
nm0000141,David Duchovny
nm0000378,Minnie Driver
nm0005279,Carroll O'Connor
nm0005162,Robert Loggia
nm0513281,Alex D. Linz
nm0000511,Shirley MacLaine
nm0000641,Gary Sinise
nm0000725,Joey Lauren Adams
nm0001698,John Savage
nm0005554,James Wilder
nm0056249,Joanne Baron
nm1304423,Ceasar Cavaricci
nm0000969,Lillo Brancato
nm0532461,Justina Machado
nm0116599,Keith Brunsmann
nm0471180,David Kriegel
nm0000244,Sigourney Weaver
nm0001349,Jennifer Love Hewitt
nm0000432,Gene Hackman
nm0000501,Ray Liotta
nm0000196,Mike Myers
nm0000552,Eddie Murphy
nm0000139,Cameron Diaz
nm0001475,John Lithgow
nm0001082,Billy Crudup
nm1123814,Bill Haugland
nm0485011,Nelson Landrieu
nm0171583,Ivonne Coll
nm0435218,Terry Kiser
nm0596959,Richard Moll
nm0908914,Dee Wallace
nm0931080,Kevin Dean Williams
nm0000665,D.B. Sweeney
nm0000523,Julianna Margulies
nm0942787,Samuel E. Wright
nm0005569,Alfre Woodard
nm1317822,Sean Miller
nm0816839,Jonny Spanish
nm0453548,Julienne Hanzelka Kim
nm0004193,Debbie Rochon
nm0000134,Robert De Niro
nm0000623,Rene Russo
nm0005305,Piper Perabo
nm0004517,Jason Alexander
nm0000230,Sylvester Stallone
nm0661164,Kip Pardue
nm0001709,Til Schweiger
nm0000608,Burt Reynolds
nm0940158,Bokeem Woodbine
nm0715953,Roger Rees
nm0682399,Justin Pierce
nm0461355,Sascha Knopf
nm0000379,Kirsten Dunst
nm0040472,William Atherton
nm0266631,Debbie Fan
nm0531095,Eric Mabius
nm0000242,Mark Wahlberg
nm0000619,Tim Roth
nm0003817,Michael Clarke Duncan
nm0330687,Joseph Gordon-Levitt
nm0000668,Emma Thompson
nm0001737,Martin Short
nm0001975,Roscoe Lee Browne
nm0320547,Carmine Giovinazzo
nm0274371,Louis Ferreira
nm0000947,Karen Black
nm0648846,Peter Onorati
nm0000274,David Arquette
nm0000117,Neve Campbell
nm0001073,Courteney Cox
nm0507271,Huey Lewis
nm0000569,Gwyneth Paltrow
nm0316079,Paul Giamatti
nm0105672,Andre Braugher
nm0593664,Radha Mitchell
nm0369513,Cole Hauser
nm0004874,Vin Diesel
nm0202966,Keith David
nm0000652,James Spader
nm0004906,Peter Facinelli
nm0000677,Robin Tunney
nm0000291,Angela Bassett
nm0380231,Blake Heron
nm0553436,A Martinez
nm0575184,Russell Means
nm0836071,Wes Studi
nm0001606,Chris Penn
nm0942482,Jeffrey Wright
nm0220867,Anthony DeSando
nm0000145,Sherilyn Fenn
nm0000123,George Clooney
nm0001876,Catherine Zeta-Jones
nm0000671,Billy Bob Thornton
nm0000177,Kevin Kline
nm0000110,Kenneth Branagh
nm0001609,Rosie Perez
nm0000800,Armand Assante
nm0562924,Whitman Mayo
nm0333318,April Grace
nm0245652,Cordereau Dye
nm0001618,Joaquin Phoenix
nm0000234,Charlize Theron
nm0001001,James Caan
nm0000449,Natasha Henstridge
nm0890232,Michael Vartan
nm0728346,Michael Rispoli
nm0001882,Olivia d'Abo
nm0000243,Denzel Washington
