movie_uid,title,year,rating
tt0035423,Kate & Leopold,2001,"{'avg': 6.4, 'votes': 85923}"
tt0088751,The Naked Monster,2005,"{'avg': 5.3, 'votes': 328}"
tt0096056,Crime and Punishment,2002,"{'avg': 5.6, 'votes': 830}"
tt0113092,For the Cause,2000,"{'avg': 3.4, 'votes': 829}"
tt0116391,Gang,2000,"{'avg': 6.2, 'votes': 257}"
tt0117461,Remembering Mario,2003,"{'avg': 6.3, 'votes': 24}"
tt0117743,Still Waters Burn,2008,"{'avg': 6.8, 'votes': 62}"
tt0118652,The Attic Expeditions,2001,"{'avg': 4.9, 'votes': 1851}"
tt0118852,Chinese Coffee,2000,"{'avg': 7.1, 'votes': 4405}"
tt0118926,The Dancer Upstairs,2002,"{'avg': 6.9, 'votes': 6701}"
tt0119004,Don's Plum,2001,"{'avg': 5.6, 'votes': 4535}"
tt0119231,The Junior Defenders,2007,"{'avg': 4.6, 'votes': 187}"
tt0119273,Heavy Metal 2000,2000,"{'avg': 5.4, 'votes': 8863}"
tt0120166,The Sorcerer's Apprentice,2001,"{'avg': 4.3, 'votes': 614}"
tt0120202,State and Main,2000,"{'avg': 6.7, 'votes': 21574}"
tt0120467,Vulgar,2000,"{'avg': 5.2, 'votes': 4170}"
tt0120630,Chicken Run,2000,"{'avg': 7.1, 'votes': 195516}"
tt0120667,Fantastic Four,2005,"{'avg': 5.7, 'votes': 333013}"
tt0120679,Frida,2002,"{'avg': 7.3, 'votes': 91196}"
tt0120681,From Hell,2001,"{'avg': 6.7, 'votes': 157978}"
tt0120698,The Highwayman,2000,"{'avg': 4.4, 'votes': 360}"
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,"{'avg': 8.8, 'votes': 1885329}"
tt0120753,The Million Dollar Hotel,2000,"{'avg': 5.8, 'votes': 21830}"
tt0120755,Mission: Impossible II,2000,"{'avg': 6.1, 'votes': 347156}"
tt0120804,Resident Evil,2002,"{'avg': 6.6, 'votes': 274817}"
tt0120824,The Shipping News,2001,"{'avg': 6.7, 'votes': 33271}"
tt0120870,Trance,2002,"{'avg': 5.2, 'votes': 62}"
tt0120903,X-Men,2000,"{'avg': 7.3, 'votes': 620512}"
tt0120912,Men in Black II,2002,"{'avg': 6.1, 'votes': 380462}"
tt0120913,Titan A.E.,2000,"{'avg': 6.6, 'votes': 62031}"
tt0120917,The Emperor's New Groove,2000,"{'avg': 7.4, 'votes': 208123}"
tt0121164,Corpse Bride,2005,"{'avg': 7.3, 'votes': 279455}"
tt0121569,Moonlight Blade,2009,[]
tt0121765,Star Wars: Episode II - Attack of the Clones,2002,"{'avg': 6.6, 'votes': 717376}"
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,"{'avg': 7.6, 'votes': 798094}"
tt0122161,Lured Innocence,2000,"{'avg': 4.8, 'votes': 420}"
tt0122247,Serial Killing 4 Dummys,2004,"{'avg': 5.2, 'votes': 774}"
tt0122459,Return to Me,2000,"{'avg': 6.9, 'votes': 21598}"
tt0123003,Bruno,2000,"{'avg': 6.0, 'votes': 1561}"
tt0123581,Burning Down the House,2001,"{'avg': 5.1, 'votes': 74}"
tt0124889,Sticks,2001,"{'avg': 5.4, 'votes': 111}"
tt0125022,Heartbreakers,2001,"{'avg': 6.2, 'votes': 55556}"
tt0126029,Shrek,2001,"{'avg': 7.9, 'votes': 685283}"
tt0127349,Waking the Dead,2000,"{'avg': 6.5, 'votes': 7324}"
tt0129095,Flamingo Dreams,2000,"{'avg': 8.1, 'votes': 18}"
tt0130623,Dinosaur,2000,"{'avg': 6.4, 'votes': 62492}"
tt0131597,Split,2004,"{'avg': 5.2, 'votes': 24}"
tt0131704,The Adventures of Rocky & Bullwinkle,2000,"{'avg': 4.3, 'votes': 20581}"
tt0132245,Driven,2001,"{'avg': 4.6, 'votes': 41781}"
tt0132885,BlackMale,2000,"{'avg': 4.6, 'votes': 388}"
tt0132910,The Crow: Salvation,2000,"{'avg': 4.9, 'votes': 11753}"
tt0133152,Planet of the Apes,2001,"{'avg': 5.7, 'votes': 221880}"
tt0133240,Treasure Planet,2002,"{'avg': 7.2, 'votes': 121791}"
tt0133752,Fallen Arches,2000,"{'avg': 6.6, 'votes': 105}"
tt0134084,Scream 3,2000,"{'avg': 5.6, 'votes': 146606}"
tt0134630,Duets,2000,"{'avg': 6.1, 'votes': 9736}"
tt0134847,Pitch Black,2000,"{'avg': 7.1, 'votes': 242907}"
tt0134983,Supernova,2000,"{'avg': 4.8, 'votes': 18389}"
tt0135707,Wind River,2000,"{'avg': 6.3, 'votes': 393}"
tt0138353,Cement,2000,"{'avg': 5.7, 'votes': 646}"
tt0138524,Intolerable Cruelty,2003,"{'avg': 6.3, 'votes': 98777}"
tt0138749,The Road to El Dorado,2000,"{'avg': 6.9, 'votes': 99076}"
tt0138927,Waterproof,2000,"{'avg': 6.5, 'votes': 438}"
tt0138946,The Yards,2000,"{'avg': 6.4, 'votes': 21931}"
tt0139388,It Had to Be You,2000,"{'avg': 5.6, 'votes': 2276}"
tt0139654,Training Day,2001,"{'avg': 7.7, 'votes': 441974}"
tt0140806,American Reel,2003,"{'avg': 6.8, 'votes': 105}"
tt0141120,The Ghost,2001,"{'avg': 4.0, 'votes': 367}"
tt0141907,Town & Country,2001,"{'avg': 4.5, 'votes': 5051}"
tt0141926,U-571,2000,"{'avg': 6.6, 'votes': 83407}"
tt0142650,Meeting Daddy,2000,"{'avg': 4.6, 'votes': 270}"
tt0144084,American Psycho,2000,"{'avg': 7.6, 'votes': 632150}"
tt0144142,Committed,2000,"{'avg': 5.1, 'votes': 3911}"
tt0144528,Nutty Professor II: The Klumps,2000,"{'avg': 4.4, 'votes': 51692}"
tt0144608,Sinbad: Beyond the Veil of Mists,2000,"{'avg': 4.5, 'votes': 666}"
tt0144964,Highlander: Endgame,2000,"{'avg': 4.6, 'votes': 20656}"
tt0145487,Spider-Man,2002,"{'avg': 7.4, 'votes': 824098}"
tt0146309,Thirteen Days,2000,"{'avg': 7.3, 'votes': 59790}"
tt0146316,Lara Croft: Tomb Raider,2001,"{'avg': 5.7, 'votes': 211690}"
tt0146803,"Goodnight, Joseph Parker",2004,"{'avg': 7.6, 'votes': 520}"
tt0146882,High Fidelity,2000,"{'avg': 7.4, 'votes': 182459}"
tt0146984,The Legend of Bagger Vance,2000,"{'avg': 6.7, 'votes': 57805}"
tt0148421,Looking for an Echo,2000,"{'avg': 6.6, 'votes': 340}"
tt0149367,Where the Money Is,2000,"{'avg': 6.3, 'votes': 6179}"
tt0149624,All the Pretty Horses,2000,"{'avg': 5.8, 'votes': 15201}"
tt0150021,Camouflage,2001,"{'avg': 4.5, 'votes': 1944}"
tt0151150,Josh,2000,"{'avg': 6.1, 'votes': 10429}"
tt0151309,Laughing Boy,2000,"{'avg': 6.0, 'votes': 147}"
tt0153012,The Thief & the Stripper,2000,"{'avg': 4.1, 'votes': 113}"
tt0153100,Time of Her Time,2000,"{'avg': 7.2, 'votes': 46}"
tt0153464,Up at the Villa,2000,"{'avg': 6.0, 'votes': 2752}"
tt0156020,Ricky 6,2000,"{'avg': 6.1, 'votes': 687}"
tt0156323,Screwed,2000,"{'avg': 5.6, 'votes': 9248}"
tt0156376,Book of Love: The Definitive Reason Why Men Are Dogs,2002,"{'avg': 6.7, 'votes': 113}"
tt0156807,Mr. Accident,2000,"{'avg': 4.3, 'votes': 1150}"
tt0156812,My Dog Skip,2000,"{'avg': 7.0, 'votes': 20802}"
tt0156841,The Next Best Thing,2000,"{'avg': 4.6, 'votes': 11424}"
tt0156942,Rave,2000,"{'avg': 5.4, 'votes': 188}"
tt0157472,Clockstoppers,2002,"{'avg': 5.2, 'votes': 14589}"
tt0157583,Enigma,2001,"{'avg': 6.4, 'votes': 21348}"
tt0157836,Island of the Dead,2000,"{'avg': 2.8, 'votes': 920}"
tt0158033,Nora,2000,"{'avg': 5.9, 'votes': 1787}"
tt0158622,The Flintstones in Viva Rock Vegas,2000,"{'avg': 3.7, 'votes': 24106}"
tt0159273,Behind Enemy Lines,2001,"{'avg': 6.4, 'votes': 107384}"
tt0159291,Attention Shoppers,2000,"{'avg': 4.9, 'votes': 286}"
tt0159365,Cold Mountain,2003,"{'avg': 7.2, 'votes': 150645}"
tt0159378,The Demo Crew,2001,"{'avg': 5.3, 'votes': 41}"
tt0159396,Civility,2000,"{'avg': 3.7, 'votes': 157}"
tt0159784,Takedown,2000,"{'avg': 6.2, 'votes': 6968}"
tt0160009,The Art of War,2000,"{'avg': 5.7, 'votes': 30225}"
tt0160127,Charlie's Angels,2000,"{'avg': 5.6, 'votes': 189303}"
tt0160256,The Unscarred,2000,"{'avg': 5.7, 'votes': 202}"
tt0160289,Four Dogs Playing Poker,2000,"{'avg': 5.5, 'votes': 1423}"
tt0160399,Impostor,2001,"{'avg': 6.2, 'votes': 23996}"
tt0160403,The Independent,2000,"{'avg': 5.9, 'votes': 1333}"
tt0160434,Housebound,2000,"{'avg': 4.2, 'votes': 220}"
tt0160447,The Last Great Ride,2000,"{'avg': 4.8, 'votes': 217}"
tt0160484,Lost Souls,2000,"{'avg': 4.8, 'votes': 11079}"
tt0160495,Luckytown,2000,"{'avg': 4.7, 'votes': 1001}"
tt0160547,More Dogs Than Bones,2000,"{'avg': 5.0, 'votes': 418}"
tt0160611,Ordinary Decent Criminal,2000,"{'avg': 6.3, 'votes': 14044}"
tt0160616,Other Voices,2000,"{'avg': 5.8, 'votes': 286}"
tt0160644,Passion of Mind,2000,"{'avg': 5.5, 'votes': 3478}"
tt0160749,Red Dirt,2000,"{'avg': 6.1, 'votes': 993}"
