uid,left_actor_id,left_actor_name,<->,right_actor_id,right_actor_name,weight
nm0000212__nm0000630,nm0000212,Meg Ryan,<->,nm0000630,Liev Schreiber,1
nm0000212__nm0005227,nm0000212,Meg Ryan,<->,nm0005227,Breckin Meyer,1
nm0000212__nm0413168,nm0000212,Meg Ryan,<->,nm0413168,Hugh Jackman,1
nm0000212__nm0000473,nm0000212,Meg Ryan,<->,nm0000473,Diane Keaton,1
nm0000212__nm0000527,nm0000212,Meg Ryan,<->,nm0000527,Walter Matthau,1
nm0000212__nm0001435,nm0000212,Meg Ryan,<->,nm0001435,Lisa Kudrow,1
nm0000212__nm0000492,nm0000212,Meg Ryan,<->,nm0000492,Jennifer Jason Leigh,1
nm0000212__nm0749263,nm0000212,Meg Ryan,<->,nm0749263,Mark Ruffalo,1
nm0000212__nm1476796,nm0000212,Meg Ryan,<->,nm1476796,Michael Nuccio,1
nm0000128__nm0000212,nm0000128,Russell Crowe,<->,nm0000212,Meg Ryan,1
nm0000212__nm0001556,nm0000212,Meg Ryan,<->,nm0001556,David Morse,1
nm0000212__nm0715622,nm0000212,Meg Ryan,<->,nm0715622,Pamela Reed,1
nm0000212__nm0001165,nm0000212,Meg Ryan,<->,nm0001165,Charles S. Dutton,1
nm0000212__nm0001724,nm0000212,Meg Ryan,<->,nm0001724,Tony Shalhoub,1
nm0000212__nm0004898,nm0000212,Meg Ryan,<->,nm0004898,Omar Epps,1
nm0000212__nm0025745,nm0000212,Meg Ryan,<->,nm0025745,Elena Anaya,1
nm0000212__nm0111013,nm0000212,Meg Ryan,<->,nm0111013,Adam Brody,1
nm0000212__nm0829576,nm0000212,Meg Ryan,<->,nm0829576,Kristen Stewart,1
nm0000212__nm0000906,nm0000212,Meg Ryan,<->,nm0000906,Annette Bening,1
nm0000212__nm0005226,nm0000212,Meg Ryan,<->,nm0005226,Debra Messing,1
nm0000212__nm0578949,nm0000212,Meg Ryan,<->,nm0578949,Eva Mendes,1
nm0000104__nm0000212,nm0000104,Antonio Banderas,<->,nm0000212,Meg Ryan,1
nm0000212__nm0004757,nm0000212,Meg Ryan,<->,nm0004757,Selma Blair,1
nm0000212__nm0004988,nm0000212,Meg Ryan,<->,nm0004988,Colin Hanks,1
nm0000212__nm0000513,nm0000212,Meg Ryan,<->,nm0000513,William H. Macy,1
nm0000212__nm0001285,nm0000212,Meg Ryan,<->,nm0001285,Elliott Gould,1
nm0000212__nm0005112,nm0000212,Meg Ryan,<->,nm0005112,LL Cool J,1
nm0000212__nm0000459,nm0000212,Meg Ryan,<->,nm0000459,Timothy Hutton,1
nm0000212__nm0068338,nm0000212,Meg Ryan,<->,nm0068338,Kristen Bell,1
nm0000212__nm0519043,nm0000212,Meg Ryan,<->,nm0519043,Justin Long,1
nm0000212__nm0001731,nm0000212,Meg Ryan,<->,nm0001731,Sam Shepard,1
nm0000212__nm0512934,nm0000212,Meg Ryan,<->,nm0512934,Hamish Linklater,1
nm0000212__nm2614237,nm0000212,Meg Ryan,<->,nm2614237,Alex Neustaedter,1
nm0000630__nm0413168,nm0000630,Liev Schreiber,<->,nm0413168,Hugh Jackman,2
nm0005227__nm0413168,nm0005227,Breckin Meyer,<->,nm0413168,Hugh Jackman,1
nm0000463__nm0413168,nm0000463,Famke Janssen,<->,nm0413168,Hugh Jackman,2
nm0001772__nm0413168,nm0001772,Patrick Stewart,<->,nm0413168,Hugh Jackman,5
nm0005212__nm0413168,nm0005212,Ian McKellen,<->,nm0413168,Hugh Jackman,4
nm0000237__nm0413168,nm0000237,John Travolta,<->,nm0413168,Hugh Jackman,1
nm0000332__nm0413168,nm0000332,Don Cheadle,<->,nm0413168,Hugh Jackman,1
nm0000932__nm0413168,nm0000932,Halle Berry,<->,nm0413168,Hugh Jackman,3
nm0000295__nm0413168,nm0000295,Kate Beckinsale,<->,nm0413168,Hugh Jackman,1
nm0378175__nm0413168,nm0378175,Shuler Hensley,<->,nm0413168,Hugh Jackman,1
nm0413168__nm0746896,nm0413168,Hugh Jackman,<->,nm0746896,Richard Roxburgh,1
nm0000245__nm0413168,nm0000245,Robin Williams,<->,nm0413168,Hugh Jackman,1
nm0000704__nm0413168,nm0000704,Elijah Wood,<->,nm0413168,Hugh Jackman,1
nm0005261__nm0413168,nm0005261,Brittany Murphy,<->,nm0413168,Hugh Jackman,1
nm0000995__nm0413168,nm0000995,Ellen Burstyn,<->,nm0413168,Hugh Jackman,1
nm0001838__nm0413168,nm0001838,Rachel Weisz,<->,nm0413168,Hugh Jackman,1
nm0413168__nm0859503,nm0413168,Hugh Jackman,<->,nm0859503,Sean Patrick Thomas,1
nm0000606__nm0413168,nm0000606,Jean Reno,<->,nm0413168,Hugh Jackman,1
nm0000701__nm0413168,nm0000701,Kate Winslet,<->,nm0413168,Hugh Jackman,1
nm0413168__nm1107001,nm0413168,Hugh Jackman,<->,nm1107001,Anthony Mackie,1
nm0413168__nm1431940,nm0413168,Hugh Jackman,<->,nm1431940,Evangeline Lilly,1
nm0413168__nm2023672,nm0413168,Hugh Jackman,<->,nm2023672,Dakota Goyo,1
nm0000173__nm0413168,nm0000173,Nicole Kidman,<->,nm0413168,Hugh Jackman,1
nm0011354__nm0413168,nm0011354,Shea Adams,<->,nm0413168,Hugh Jackman,1
nm0413168__nm1812267,nm0413168,Hugh Jackman,<->,nm1812267,Eddie Baroo,1
nm0061106__nm0413168,nm0061106,Robert Bathurst,<->,nm0413168,Hugh Jackman,1
nm0242319__nm0413168,nm0242319,Jim Dunk,<->,nm0413168,Hugh Jackman,1
nm0413168__nm0424060,nm0413168,Hugh Jackman,<->,nm0424060,Scarlett Johansson,2
nm0005351__nm0413168,nm0005351,Ryan Reynolds,<->,nm0413168,Hugh Jackman,1
nm0396812__nm0413168,nm0396812,Danny Huston,<->,nm0413168,Hugh Jackman,1
nm0000288__nm0413168,nm0000288,Christian Bale,<->,nm0413168,Hugh Jackman,1
nm0000323__nm0413168,nm0000323,Michael Caine,<->,nm0413168,Hugh Jackman,1
nm0000191__nm0413168,nm0000191,Ewan McGregor,<->,nm0413168,Hugh Jackman,1
nm0022883__nm0413168,nm0022883,Bruce Altman,<->,nm0413168,Hugh Jackman,1
