uid,rank,query_actor_id,query_actor_name,actor_id,actor_name,cosine_distance,euclidean_distance
sim_nm1165110__nm0000129,1,nm1165110,Chris Hemsworth,nm0000129,Tom Cruise,0.02688463061355495,5.477225575051661
sim_nm1165110__nm0147147,2,nm1165110,Chris Hemsworth,nm0147147,Henry Cavill,0.04459907371977079,8.246211251235321
sim_nm1165110__nm0829032,3,nm1165110,Chris Hemsworth,nm0829032,Ray Stevenson,0.045203363012771725,13.2664991614216
sim_nm1165110__nm5899377,4,nm1165110,Chris Hemsworth,nm5899377,Tiger Shroff,0.0487825407896566,14.035668847618199
sim_nm1165110__nm1679372,5,nm1165110,Chris Hemsworth,nm1679372,Sudeep,0.051694237969527324,16.1245154965971
sim_nm1165110__nm0003244,6,nm1165110,Chris Hemsworth,nm0003244,Jordi Mollà,0.053414613481432394,16.73320053068151
sim_nm1165110__nm0607884,7,nm1165110,Chris Hemsworth,nm0607884,Mark Mortimer,0.05652570932413603,19.77371993328519
sim_nm1165110__nm0636280,8,nm1165110,Chris Hemsworth,nm0636280,Richard Norton,0.05652570932413603,19.77371993328519
sim_nm1165110__nm2018237,9,nm1165110,Chris Hemsworth,nm2018237,Taylor Kitsch,0.05800371753039024,14.832396974191326
sim_nm1165110__nm4043618,10,nm1165110,Chris Hemsworth,nm4043618,Tom Holland,0.060189700993587,10.723805294763608
